,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
96,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,8.0,0.9898613908317001
97,passthrough,power_phase_temporal,Ridge,1e-08,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.7257523688221585
98,passthrough,power_phase_temporal,Ridge,4328.7612810830615,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.7206965402686745
99,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,0.006579332246575682,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.5608122681256154
100,passthrough,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),sqrt,,,,,,0.9858377759738013
101,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.0,0.05,31.0,20.0,,0.9588905019555519
102,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.1,31.0,20.0,,0.965559315332632
103,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.1,31.0,20.0,,0.9646487190547925
104,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.0,0.05,31.0,20.0,,0.9623278479111327
105,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.1,31.0,20.0,,0.9719694212303319
106,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.1,31.0,20.0,,0.969730837327809
107,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,16.0,1.003311889517566
108,passthrough,power_phase_temporal,Ridge,0.0002310129700083158,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0726120873791267
109,passthrough,power_phase_temporal,Ridge,100000000.0,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,0.9982773965583049
110,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.3009314891306707
111,mad_scaling_clipping_channel_trial,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,sqrt,,,,,,0.9790508691949903
112,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.05,63.0,20.0,,0.9595170056329706
113,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.05,63.0,20.0,,0.9601176665817084
114,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.1,63.0,20.0,,0.9687837765131158
115,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.05,63.0,20.0,,0.9628115037386462
116,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.05,63.0,20.0,,0.9631489419547321
117,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.1,63.0,20.0,,0.9707565984364671
118,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,8.0,0.9719888424086385
119,passthrough,power_phase_temporal,Ridge,5.3366992312063015,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0723450447924756
120,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,8.111308307896873e-06,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.3072001095025205
121,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,3511191.7342151417,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,0.9727841937083446
122,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.05,31.0,20.0,,0.9592101720433102
123,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.1,31.0,20.0,,0.9662764661417661
124,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.05,31.0,20.0,,0.9594918221326403
125,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.05,31.0,20.0,,0.9614521546868445
126,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.1,31.0,20.0,,0.9701464171352392
127,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.05,31.0,20.0,,0.9621219332038244
128,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,4.0,0.9933097838379095
129,passthrough,power_phase_temporal,Ridge,5.3366992312063015,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.767341730846856
130,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,8.111308307896873e-06,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.560829223932417
131,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,3511191.7342151417,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,0.9679657955486233
132,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.05,31.0,20.0,,0.9589245645852045
133,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.0,0.1,31.0,20.0,,0.9666835147348453
134,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.001,0.05,31.0,20.0,,0.9592348976277837
135,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.05,31.0,20.0,,0.9622983996197058
